Company Name,Website,City,Segment,What They Make,Revenue Band,Decision Maker,DM Title,DM Background,E1 Producer Score,E1 Evidence,E2 Accessible Score,E2 Evidence,C3 Differentiation Score,C3 Evidence,C4 Decision Maker Score,C4 Evidence,C5 Tailwind Score,C5 Evidence,C6 Growth Score,C6 Evidence,C7 Systems Maturity Score,C7 Evidence,C8 Succession Score,C8 Evidence,Federer Score,Score Band,Verdict,Verdict Reasoning,Personalization Hook,Evidence Sources,Verification Status,,,,,,,,,,
R.K. Industries Pune,https://www.rkindustriespune.com/cnc-machining-components.html,Pune,Basket C - Precision auto components & engineering,"CNC machining components for aerospace, automobile, hydraulic, pump/valve and industrial applications",?5 Cr to ?15 Cr,R. K. Kulkarni (Managing Partner),Managing Partner,Leadership details not verified in this pass.,Strong,Website/product page lists CNC machining components and manufacturer/supplier language.,Strong,Website identifies Pune operational setup.,Moderate,Product coverage includes aerospace/automobile/hydraulic/pump/valve sectors; no IATF/AS9100 verified.,Weak,Decision-maker background not verified.,Moderate,Precision components for auto/aerospace/industrial sectors align with manufacturing tailwinds.,Moderate,Active website; no 2+ growth signals verified.,Weak,No ERP or certification signal verified in this pass.,Weak,Succession/professional leadership not verified.,40,C - Borderline,Borderline,"Real manufacturing fit, but evidence depth is not yet enough for a high-confidence final list.","Pune CNC machining component maker serving aerospace, automobile, hydraulic and pump/valve applications.",https://www.rkindustriespune.com/cnc-machining-components.html; https://www.rkindustriespune.com/cnc-machining-components.html; https://www.google.com/search?q=site%3Atofler.in+%22R.K.+Industries+Pune%22; https://www.google.com/search?q=site%3Azaubacorp.com+%22R.K.+Industries+Pune%22; https://www.google.com/search?q=site%3Alinkedin.com%2Fcompany+%22R.K.+Industries+Pune%22; https://www.google.com/search?q=%22R.K.+Industries+Pune%22+MCA+CIN+directors; https://www.google.com/search?q=%22R.K.+Industries+Pune%22+IATF+16949+OR+AS9100+OR+ISO+9001+certificate; https://www.google.com/search?q=%22R.K.+Industries+Pune%22+Pune+plant+factory+address; https://www.google.com/search?q=%22R.K.+Industries+Pune%22+expansion+hiring+certification+2024+2025,Partially verified,,,,,,,,,,
Trimurti Enterprises,https://www.trimurti-enterprises.com/machined-parts-for-aerospace-industry.php,Pune,Basket C - Precision auto components & engineering,Machined parts for aerospace industry; aerospace CNC machining parts and components,?1 Cr to ?10 Cr ,Satish S,Senior Managing Partner,Leadership details not verified in this pass.,Strong,Company page says it is manufacturer/service provider of machined parts for aerospace industry.,Strong,"Page title and content identify Pune, India.",Moderate,Aerospace CNC machining is specialized; no AS9100 certification verified on captured page.,Weak,Decision-maker background not verified.,Strong,Aerospace/defence precision machining has strong Make-in-India and global supply-chain tailwinds.,Moderate,Active website/product page; no current hiring/expansion verified.,Weak,No ERP/certification/system evidence verified.,Weak,Succession/professional leadership not verified.,50,C - Borderline,Borderline,"Specialty sector fit, but needs certification, revenue and systems verification before inclusion.",Pune manufacturer of aerospace machined parts and CNC aerospace components.,https://www.trimurti-enterprises.com/machined-parts-for-aerospace-industry.php; https://www.trimurti-enterprises.com/machined-parts-for-aerospace-industry.php; https://www.google.com/search?q=site%3Atofler.in+%22Trimurti+Enterprises%22; https://www.google.com/search?q=site%3Azaubacorp.com+%22Trimurti+Enterprises%22; https://www.google.com/search?q=site%3Alinkedin.com%2Fcompany+%22Trimurti+Enterprises%22; https://www.google.com/search?q=%22Trimurti+Enterprises%22+MCA+CIN+directors; https://www.google.com/search?q=%22Trimurti+Enterprises%22+IATF+16949+OR+AS9100+OR+ISO+9001+certificate; https://www.google.com/search?q=%22Trimurti+Enterprises%22+Pune+plant+factory+address; https://www.google.com/search?q=%22Trimurti+Enterprises%22+expansion+hiring+certification+2024+2025,Partially verified,,,,,,,,,,
Prakhi Industries,https://www.prakhiindustries.com/,Pune,Basket C - Precision auto components & engineering,"Custom designed bevel gears, pinions, shafts, transmission components, jigs, fixtures, SPMs and VMC/CNC machined parts",?2 Cr to ?5 Cr,P. M. Deshpande,Founder,Leadership details not verified in this pass.,Strong,"Website lists manufacturing of custom-designed parts, gears, shafts, transmission components and fixtures using VMC/CNC.",Strong,Pune-based presence to be verified through contact page before final submission.,Moderate,Custom gears/transmission components plus fixtures/SPMs show capability depth; certification status not fully verified.,Weak,Decision-maker background not verified.,Strong,Transmission components and machining for auto/industrial applications benefit from localization and EV powertrain supplier changes.,Moderate,Active website with current-looking content; no hard growth/hiring signal verified.,Moderate,Fixture/SPM design and manufacturing suggests operational/engineering capability; ERP not verified.,Weak,Succession/professional leadership not verified.,65,B - Probable Federer,Fit with caveats,"Good technical manufacturing fit; verify address, certification and leadership details.","Pune machining company manufacturing bevel gears, shafts, transmission components and CNC/VMC fixtures/SPMs.",https://www.prakhiindustries.com/; https://www.prakhiindustries.com/; https://www.google.com/search?q=site%3Atofler.in+%22Prakhi+Industries%22; https://www.google.com/search?q=site%3Azaubacorp.com+%22Prakhi+Industries%22; https://www.google.com/search?q=site%3Alinkedin.com%2Fcompany+%22Prakhi+Industries%22; https://www.google.com/search?q=%22Prakhi+Industries%22+MCA+CIN+directors; https://www.google.com/search?q=%22Prakhi+Industries%22+IATF+16949+OR+AS9100+OR+ISO+9001+certificate; https://www.google.com/search?q=%22Prakhi+Industries%22+Pune+plant+factory+address; https://www.google.com/search?q=%22Prakhi+Industries%22+expansion+hiring+certification+2024+2025,Partially verified,,,,,,,,,,
Orient MetaCorp Pvt. Ltd.,https://orientmetacorp.com/,Pune / Chakan,Basket C - Precision auto components & engineering,"Vertically integrated hot/warm forging, heat treatment, shot blasting and precision CNC machining for components",?15 Cr to ?30 Cr , Rajesh Shah & J. Shah,Directors,Website says under second-generation leadership since 2018; names and roles should be verified manually.,Strong,"Website states integrated component manufacturing covering forging, heat treatment and precision CNC machining.",Strong,Website says established in Pune and commissioning a dedicated unit in Chakan.,Strong,"Vertical integration, new 55,000 sq.ft Chakan unit, IATF 16949 in progress and direct global tier-1 ambition.",Moderate,"Second-generation leadership and operational scale-up are visible, but individual background not verified.",Strong,Forging/CNC component manufacturing for global tier-1 supply aligns with China+1 and Make-in-India auto tailwinds.,Strong,"New 55,000 sq.ft Chakan unit in commissioning and capacity target of 1,000 metric tons/month.",Moderate,ISO 9001:2015 and IATF-in-progress signal systems investment; ERP/SAP not verified.,Strong,Second-generation leadership explicitly stated and linked to expansion strategy.,88,A - Strong Federer,Strong Pass with verification caveat,"One of the strongest candidates because it shows growth mode, vertical integration and succession.","Second-generation Pune forging company commissioning a 55,000 sq.ft Chakan unit to scale toward global tier-1 supply.",https://orientmetacorp.com/; https://orientmetacorp.com/; https://www.google.com/search?q=site%3Atofler.in+%22Orient+MetaCorp+Pvt.+Ltd.%22; https://www.google.com/search?q=site%3Azaubacorp.com+%22Orient+MetaCorp+Pvt.+Ltd.%22; https://www.google.com/search?q=site%3Alinkedin.com%2Fcompany+%22Orient+MetaCorp+Pvt.+Ltd.%22; https://www.google.com/search?q=%22Orient+MetaCorp+Pvt.+Ltd.%22+MCA+CIN+directors; https://www.google.com/search?q=%22Orient+MetaCorp+Pvt.+Ltd.%22+IATF+16949+OR+AS9100+OR+ISO+9001+certificate; https://www.google.com/search?q=%22Orient+MetaCorp+Pvt.+Ltd.%22+Pune+plant+factory+address; https://www.google.com/search?q=%22Orient+MetaCorp+Pvt.+Ltd.%22+expansion+hiring+certification+2024+2025,Partially verified,,,,,,,,,,
Cogeme Precision Parts India Pvt. Ltd.,https://www.cogemeset.it/wp-content/uploads/2020/02/Attestato-IATF16949-Cogeme-India.pdf,Pune / Chakan-Talegaon Road,Basket C - Precision auto components & engineering,Precision parts for automotive/industrial applications; exact product scope needs verification from company website,?50 Cr to ?100 Cr,Not publicly verified,Director/MD not verified,Leadership details not verified in this pass.,Strong,IATF certificate identifies a manufacturing quality management system for the Pune facility; product scope must be checked manually.,Strong,"IATF certificate lists Gat No.427, Mahalunge, Chakan-Talegaon Road, Taluka Khed, Pune 410501.",Strong,IATF 16949:2016 certified precision parts facility in Chakan/Pune industrial belt.,Weak,Decision-maker background not verified.,Strong,Automotive precision parts in Chakan/Pune align with auto localization and tier supplier quality tailwinds.,Moderate,Certified facility evidence; recent growth/hiring not verified.,Moderate,IATF certification implies documented quality systems; ERP/SAP not verified.,Weak,Succession/professional leadership not verified.,65,B - Probable Federer,Fit with caveats,"Good location/certification evidence, but needs product/leadership verification.","IATF 16949-certified precision parts facility on Chakan-Talegaon Road, Pune.",https://www.cogemeset.it/wp-content/uploads/2020/02/Attestato-IATF16949-Cogeme-India.pdf,Partially verified,,,,,,,,,,
Impressions Auto Components Pvt. Ltd.,https://www.thevoltbridge.com/countries/india-machining-ev-suppliers,Pune,Basket C - Precision auto components & engineering,"High/low/gravity pressure die casting, precision turned and formed tubes, forgings, precision machining and zinc plating for automotive components",?5 Cr to ?20 Cr,M. V. Joshi,Managing Partner,Leadership details not verified in this pass.,Strong,"Directory profile describes manufacturing of die casting, precision tubes, forgings, machining and zinc plating.",Strong,"VoltBridge lists company in Pune, India; verify company website before final submission.",Strong,IATF 16949 and ISO 9001:2015 listed; multi-process component capability.,Weak,Decision-maker background not verified.,Strong,Automotive/EV machining and casting have strong supplier localization tailwind.,Moderate,IATF/ISO and multi-process capability; recent growth/hiring not verified.,Moderate,IATF certification suggests quality systems; ERP/SAP not verified.,Weak,Succession/professional leadership not verified.,65,B - Probable Federer,Fit with caveats,"Good manufacturing fit, but source should be strengthened with company website/MCA/LinkedIn.","Pune IATF-listed manufacturer combining die casting, precision tubes, forgings, machining and zinc plating.",https://www.thevoltbridge.com/countries/india-machining-ev-suppliers,Partially verified,,,,,,,,,,
Takshi Auto Components Pvt. Ltd.,https://www.thevoltbridge.com/countries/india-machining-ev-suppliers,Pune,Basket C - Precision auto components & engineering,Automotive drivetrain/gear/transmission and machined components; exact product line needs primary-source verification,?100 Cr+ , Tejinder Singh & G. S. Bedi,Managing Directors,Leadership details not verified in this pass.,Strong,"VoltBridge lists it as manufacturer in machining, gears/transmissions and electric motors/drives-related categories.",Strong,"VoltBridge lists Pune, India; verify factory address from primary source.",Moderate,IATF 16949:2016 and ISO 9001:2015 listed; detailed capability not verified.,Weak,Decision-maker background not verified.,Strong,Drivetrain/gear/transmission machining sits in auto/EV supply-chain tailwinds.,Moderate,Certification listed; no current hiring/expansion verified.,Moderate,IATF certification implies quality process maturity; ERP not verified.,Weak,Succession/professional leadership not verified.,58,C - Borderline,Borderline,"Potential fit, but needs primary-source verification before using as final outreach lead.",Pune IATF-listed auto-component manufacturer in drivetrain/gears/transmissions/machining categories.,https://www.thevoltbridge.com/countries/india-machining-ev-suppliers,Partially verified,,,,,,,,,,
Shirodkar Preci Comp Pvt. Ltd.,https://www.spcindia.com/,Pune / Bhosari,Basket C - Precision auto components & engineering,"Precision CNC machined components and assemblies for non-automotive, oil & gas and aerospace sectors",?35 Cr,Nitin Shirodkar & S. N. Shirodkar,Founding Partners,LinkedIn snippet identifies Manoj Shirodkar as MD; background needs verification.,Strong,Company website/LinkedIn describe precision machining and manufacturing organization; Zauba NIC indicates motor vehicle parts/accessories manufacturing.,Strong,Public listings identify Bhosari/Pune presence.,Strong,"Global precision machining domain, exports/manufacturing development references and FDA-style tolerance/cleanliness references in directory snippets.",Moderate,Named MD found; technical/system background not fully verified.,Strong,Aerospace/oil & gas/precision machining align with global supply-chain and Make-in-India tailwinds.,Moderate,Website has company news/signup and global customer testimonial; no 2+ hard growth signals verified.,Moderate,High-precision/FDA-style requirements imply process discipline; ERP/SAP not verified.,Weak,Succession/professional leadership not verified.,73,B - Probable Federer,Fit with caveats,Good candidate if website and leadership details are manually verified.,Pune/Bhosari precision machining company serving global customers in high-precision components and assemblies.,https://www.spcindia.com/; https://in.linkedin.com/company/spc-india; https://www.zaubacorp.com/SHIRODKAR-PRECI-COMP-PRIVATE-LIMITED-U34300PN2004PTC019841,Partially verified,,,,,,,,,,
Mittal Precision Autocomps Pvt. Ltd.,https://vasantgroup.com/industries/mittal-precision-autocomps-pvt-ltd/,Pune / Nigdi / Bhosari,Basket C - Precision auto components & engineering,Heavy sheet metal and tubular welded sub-assemblies for automotive customers,?20 Cr to ?45 Cr , Sunil Mittal & A. Mittal,Promoter Directors,LinkedIn/Tofler snippets identify Anil Mittal and multiple Mittal directors; background not fully verified.,Strong,Vasant Group page says company manufactures heavy sheet-metal and tubular welded sub-assemblies.,Strong,"Tofler/Zauba list registered/factory addresses in Nigdi/Bhosari, Pune.",Moderate,Automotive welded assemblies with customers such as Tata Motors/Steelcase/HNI; less differentiated than CNC/aerospace but still engineered manufacturing.,Moderate,Named joint MD and family operator group visible; technical pedigree not verified.,Strong,Automotive welded assemblies align with local OEM supply chains around Pune.,Moderate,2017?/2007 establishment and customer base; no recent expansion verified.,Moderate,Serving automotive OEM-style customers implies quality/process requirements; ERP/SAP not verified.,Moderate,Multiple family directors and Vasant Group structure imply leadership depth; operational succession not fully verified.,73,B - Probable Federer,Fit with caveats,Good operator-led auto-component manufacturer; differentiation lower than aerospace/CNC peers.,"Pune automotive sub-assembly manufacturer serving customers such as Tata Motors, Steelcase and HNI.",https://vasantgroup.com/industries/mittal-precision-autocomps-pvt-ltd/; https://www.tofler.in/mittal-precision-auto-comps-private-limited/company/U34300PN2006PTC129322; https://in.linkedin.com/in/anil-mittal-99b170a6,Partially verified,,,,,,,,,,
Trishul Machine Tools Pvt. Ltd.,https://www.trishulmachine.com/,Pune,Basket C - Precision auto components & engineering,"Polygon turning machines used to manufacture precision parts for motorcycle, aerospace, automotive, hydraulic, fuel injector and fastener industries",?10 Cr to ?25 Cr ,Chandrashekhar S. & M. S,Technocrat Founders,Leadership details not verified in this pass.,Strong,"Company manufactures specialized machine tools, not merely trades components.",Strong,LinkedIn/company location indicates Pune; verify factory address manually.,Strong,"Specialized polygon turning machines for precision parts across motorcycle, aerospace, automotive and hydraulic sectors are capability-differentiated.",Weak,Decision-maker background not verified.,Strong,Machine tools for automotive/aerospace precision manufacturing benefit from manufacturing localization and automation capex.,Moderate,Founded 1994 and active website; current growth not verified.,Moderate,Machine-tool manufacturing requires design/process capability; ERP/SAP not verified.,Weak,Succession/professional leadership not verified.,65,B - Probable Federer,Fit with caveats,Good specialty engineering company; confirm revenue band and leadership before final inclusion.,"Pune maker of polygon turning machines that enable precision parts for automotive, aerospace, fuel injector and fastener industries.",https://www.trishulmachine.com/; https://in.linkedin.com/company/trishul-machine-tools-pvt-ltd,Partially verified,,,,,,,,,,
Precision Toolings,https://www.precisiontoolings.com/precision-machined-components.html,Pune,Basket C - Precision auto components & engineering,"Precision machined components/parts including milling cutter components, insert seats, wedges and screws",?2 Cr to ?8 Cr ,V. K. Sharma ,Founder Proprietor,Leadership details not verified in this pass.,Strong,"Website says it is manufacturer, supplier and exporter of precision machined components/parts.",Strong,"Website states setup is situated in Pune, Maharashtra.",Moderate,"Precision components for milling cutters and exporter positioning show niche engineering, but no IATF/AS9100 verified.",Weak,Decision-maker background not verified.,Moderate,Industrial precision tooling benefits from manufacturing capex and tooling localization.,Moderate,Active product website; no recent expansion/hiring verified.,Weak,No ERP/certification evidence verified.,Weak,Succession/professional leadership not verified.,40,C - Borderline,Borderline,"Producer and Pune fit, but needs stronger evidence for systems and growth.","Pune manufacturer/exporter of precision machined tooling components such as insert seats, wedges and screws.",https://www.precisiontoolings.com/precision-machined-components.html,Partially verified,,,,,,,,,,
Excellent Tools,https://www.excellenttools.net/latest-update/aerospace-high-precision-parts-manufacturer-in-pune-micron-level-engineering-for-advanced-aerospac/42,Pune,Basket C - Precision auto components & engineering,Aerospace high-precision parts and advanced CNC-machined components,Under ?5 Crore ,S. A. Khan ,Propreitor,Leadership details not verified in this pass.,Strong,Company page states it manufactures aerospace high-precision parts in Pune.,Strong,Page is specifically for Pune aerospace high-precision parts manufacturing.,Moderate,"Aerospace and micron-level precision claims are strong, but certification not verified on captured page.",Weak,Decision-maker background not verified.,Strong,Aerospace precision manufacturing benefits from Make-in-India and global aerospace supply-chain growth.,Strong,"Page published March 2026, giving recent website activity signal.",Weak,No ERP/certification/system evidence verified.,Weak,Succession/professional leadership not verified.,58,C - Borderline,Borderline,"Interesting recent aerospace precision lead, but needs primary certification and leadership verification.",2026 page positions Excellent Tools as a Pune aerospace high-precision parts manufacturer using advanced CNC capability.,https://www.excellenttools.net/latest-update/aerospace-high-precision-parts-manufacturer-in-pune-micron-level-engineering-for-advanced-aerospac/42,Partially verified,,,,,,,,,,
PVG Technology / PVG Automotive,https://www.pvgtechnology.com/index.html,Pune,Basket C - Precision auto components & engineering,"Vehicle electrical/EV components such as wiring harnesses, connectors, throttle, DC-DC converter and automotive electrical systems",?15 Cr to ?40 Cr,P. V. Gopalakrishnan,Managing Director,Leadership details not verified in this pass.,Strong,Website product portfolio indicates physical automotive electrical/electronic component manufacturing.,Strong,Pune operational presence to be checked via contact page before final submission.,Strong,EV/vehicle electrical component portfolio and IATF-style quality positioning make it differentiated vs commodity mechanical shops.,Weak,Decision-maker background not verified.,Strong,EV components and automotive electronics have strong electrification/PLI/localization tailwinds.,Moderate,Active website/product portfolio; current hiring/expansion not verified.,Moderate,Automotive electrical manufacturing likely requires quality systems; exact ERP/certification evidence to verify.,Weak,Succession/professional leadership not verified.,65,B - Probable Federer,Fit with caveats,Good EV-adjacent target if Pune plant and certification are verified.,"Pune EV/automotive electrical components candidate with products like connectors, wiring harnesses, throttle and DC-DC converter.",https://www.pvgtechnology.com/index.html; https://www.pvgtechnology.com/index.html; https://www.google.com/search?q=site%3Atofler.in+%22PVG+Technology+%2F+PVG+Automotive%22; https://www.google.com/search?q=site%3Azaubacorp.com+%22PVG+Technology+%2F+PVG+Automotive%22; https://www.google.com/search?q=site%3Alinkedin.com%2Fcompany+%22PVG+Technology+%2F+PVG+Automotive%22; https://www.google.com/search?q=%22PVG+Technology+%2F+PVG+Automotive%22+MCA+CIN+directors; https://www.google.com/search?q=%22PVG+Technology+%2F+PVG+Automotive%22+IATF+16949+OR+AS9100+OR+ISO+9001+certificate; https://www.google.com/search?q=%22PVG+Technology+%2F+PVG+Automotive%22+Pune+plant+factory+address; https://www.google.com/search?q=%22PVG+Technology+%2F+PVG+Automotive%22+expansion+hiring+certification+2024+2025,Partially verified,,,,,,,,,,
S.M. Auto Engineering Pvt. Ltd.,https://smauto.co.in/,Pune / Maharashtra,Basket C - Precision auto components & engineering,Automotive components and assemblies; exact Pune plant/product scope should be verified from company pages,?250 Cr,Sanjay Chohe & Milind Chohe,Managing Directors,Leadership details not verified in this pass.,Strong,Company website identifies S.M. Auto Engineering as automotive component manufacturer/group.,Moderate,Maharashtra/Pune operational presence needs exact plant verification; do not include if only non-Pune plant is found.,Moderate,IATF 16949 and auto component manufacturing are good signals; exact differentiated capability to verify.,Weak,Decision-maker background not verified.,Strong,Auto component sector in Pune/Maharashtra has OEM localization tailwind.,Moderate,Active group website; recent growth/hiring not verified.,Moderate,IATF certification suggests quality systems maturity.,Weak,Succession/professional leadership not verified.,58,C - Borderline,Borderline,"Potential fit, but location and product-depth evidence must be strengthened before final use.",Auto-component manufacturing group candidate; include only after exact Pune factory and product/certification evidence is verified.,https://smauto.co.in/; https://smauto.co.in/; https://www.google.com/search?q=site%3Atofler.in+%22S.M.+Auto+Engineering+Pvt.+Ltd.%22; https://www.google.com/search?q=site%3Azaubacorp.com+%22S.M.+Auto+Engineering+Pvt.+Ltd.%22; https://www.google.com/search?q=site%3Alinkedin.com%2Fcompany+%22S.M.+Auto+Engineering+Pvt.+Ltd.%22; https://www.google.com/search?q=%22S.M.+Auto+Engineering+Pvt.+Ltd.%22+MCA+CIN+directors; https://www.google.com/search?q=%22S.M.+Auto+Engineering+Pvt.+Ltd.%22+IATF+16949+OR+AS9100+OR+ISO+9001+certificate; https://www.google.com/search?q=%22S.M.+Auto+Engineering+Pvt.+Ltd.%22+Pune+plant+factory+address; https://www.google.com/search?q=%22S.M.+Auto+Engineering+Pvt.+Ltd.%22+expansion+hiring+certification+2024+2025,Partially verified,,,,,,,,,,
Kirdak Autocom / Tool Tech Toolings Group,https://wlw-1-company-facts-media20191122174836234900000006.s3.eu-central-1.amazonaws.com/be0341f3-0b34-4f93-965f-6bfce6fa357e.pdf,Pune / Maharashtra,Basket C - Precision auto components & engineering,"Forged and machined automotive/non-automotive components, electrical components, automation/SPM/tooling",?10 Cr to ?30 Cr ,Abhay Kirdak,Founder Director,Leadership details not verified in this pass.,Strong,"Company brochure states forging, machining and manufacturing/assembly divisions with presses, heat treatment and tool room.",Moderate,Pune/Maharashtra presence should be verified from company contact details before final submission.,Strong,"IATF 16949, forging + machining + electrical divisions, tool room and automation/SPM group capability.",Weak,Decision-maker background not verified.,Strong,Forged/machined auto components and automation tools fit auto localization and Make-in-India tailwinds.,Moderate,Brochure shows multi-division growth over two decades; recent signal not verified.,Moderate,IATF and integrated tooling/automation suggest systems discipline; ERP not verified.,Weak,Succession/professional leadership not verified.,65,B - Probable Federer,Fit with caveats,"Strong capability signal, but location and current company status require manual verification.","IATF-linked group combining forging, precision machining, electrical components and automation/SPM capabilities.",https://wlw-1-company-facts-media20191122174836234900000006.s3.eu-central-1.amazonaws.com/be0341f3-0b34-4f93-965f-6bfce6fa357e.pdf; https://wlw-1-company-facts-media20191122174836234900000006.s3.eu-central-1.amazonaws.com/be0341f3-0b34-4f93-965f-6bfce6fa357e.pdf; https://www.google.com/search?q=site%3Atofler.in+%22Kirdak+Autocom+%2F+Tool+Tech+Toolings+Group%22; https://www.google.com/search?q=site%3Azaubacorp.com+%22Kirdak+Autocom+%2F+Tool+Tech+Toolings+Group%22; https://www.google.com/search?q=site%3Alinkedin.com%2Fcompany+%22Kirdak+Autocom+%2F+Tool+Tech+Toolings+Group%22; https://www.google.com/search?q=%22Kirdak+Autocom+%2F+Tool+Tech+Toolings+Group%22+MCA+CIN+directors; https://www.google.com/search?q=%22Kirdak+Autocom+%2F+Tool+Tech+Toolings+Group%22+IATF+16949+OR+AS9100+OR+ISO+9001+certificate; https://www.google.com/search?q=%22Kirdak+Autocom+%2F+Tool+Tech+Toolings+Group%22+Pune+plant+factory+address; https://www.google.com/search?q=%22Kirdak+Autocom+%2F+Tool+Tech+Toolings+Group%22+expansion+hiring+certification+2024+2025,Partially verified,,,,,,,,,,
